Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,74.762399,-6.99982,0.0,top
C2,100n,C_0603_1608Metric,108.672109,-20.806257,0.0,top
C3,10u,C_0603_1608Metric,108.672109,-19.020315,0.0,top
C4,100u,CP_Elec_6.3x5.9,107.897109,-12.946088,90.0,top
C5,100n,C_0603_1608Metric,134.272978,-20.5086,0.0,top
C6,10u,C_0603_1608Metric,134.272978,-22.294542,0.0,top
C7,100u,CP_Elec_6.3x5.9,136.297978,-15.746088,0.0,top
C8,30p,C_0603_1608Metric,72.097601,-31.322302,0.0,top
C9,30p,C_0603_1608Metric,75.489799,-28.61136,-90.0,top
C10,100n,C_0603_1608Metric,86.111916,-11.246088,180.0,top
C11,100n,C_0603_1608Metric,113.850249,-11.246088,180.0,top
C12,100n,C_0603_1608Metric,105.932568,-21.582106,90.0,top
C13,1u,C_0603_1608Metric,57.855261,-19.796146,180.0,top
C14,10u,C_0603_1608Metric,57.855261,-21.324081,180.0,top
C15,10u,C_0603_1608Metric,70.387752,-14.692371,0.0,top
C16,100n,C_0603_1608Metric,74.283747,-25.123731,0.0,top
C17,100n,C_0603_1608Metric,74.283747,-22.671656,0.0,top
C18,100n,C_0603_1608Metric,63.392789,-15.405661,90.0,top
C19,100n,C_0603_1608Metric,61.75567,-15.405661,90.0,top
C20,100n,C_0603_1608Metric,64.762601,-29.4506,-90.0,top
C21,100n,C_0603_1608Metric,68.152601,-29.4506,-90.0,top
C22,100n,C_0603_1608Metric,72.502213,-18.115438,0.0,top
F1,500mA,Fuse_1206_3216Metric,59.448805,-9.403105,0.0,top
J1,JST,JST-SR-4,45.08671,-32.074621,0.0,top
J2,USB_A,USB-SMT-04F-S1-B1-R9A,22.906887,-14.088501,-90.0,top
J3,USB_A,USB-SMT-04F-S1-B1-R9A,95.990829,-7.563588,90.0,top
J4,USB_A,USB-SMT-04F-S1-B1-R9A,123.375273,-7.563588,90.0,top
L1,"220 @ 100MHz, 2A",L_0603_1608Metric,74.774899,-8.785762,0.0,top
L2,"220 @ 100MHz, 2A",L_0603_1608Metric,86.099416,-13.03203,180.0,top
L3,"220 @ 100MHz, 2A",L_0603_1608Metric,113.837749,-13.03203,180.0,top
R1,5.1k,R_0402_1005Metric,69.657554,-11.89982,90.0,top
R2,5.1k,R_0402_1005Metric,63.541618,-11.815262,-90.0,top
R3,10k,R_0603_1608Metric,68.973876,-32.736663,90.0,top
R4,10k,R_0603_1608Metric,64.062519,-32.736663,90.0,top
R5,10k,R_0603_1608Metric,67.336757,-32.736663,90.0,top
R6,10k,R_0603_1608Metric,65.699638,-32.736663,90.0,top
R7,10k,R_0603_1608Metric,62.4254,-32.736663,90.0,top
R8,10k,R_0603_1608Metric,58.762585,-28.133163,0.0,top
R9,10k,R_0603_1608Metric,57.960505,-15.405661,-90.0,top
R10,10k,R_0603_1608Metric,59.52322,-15.399226,-90.0,top
R11,10k,R_0603_1608Metric,56.39779,-15.405661,90.0,top
R12,2.7K,R_0603_1608Metric,72.471358,-16.180661,0.0,top
U1,MIC2026-2BM,SOIC-8_3.9x4.9mm_P1.27mm,109.802109,-25.96017,90.0,top
U2,SRV05-4,SOT-23-6-routable,66.513486,-13.452381,180.0,top
U3,SRV05-4,SOT-23-6-routable,95.990829,-19.767525,0.0,top
U4,SRV05-4,SOT-23-6-routable,123.375273,-19.767525,0.0,top
U5,FE1.1,LQFP-48_7x7mm_P0.5mm,66.513486,-22.373731,90.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,66.988486,-0.21982,180.0,top
Y1,12MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,72.422601,-28.68636,0.0,top
